A8_B2                       ,grade,       A1,    A1,      A1,      A1,     A1,          A1,   A1,      A1,   A1,       A1,      A1,     A1,       A1,        A1,      A1,      A1,       A1,       A1,       A1,        A1,    A1,      A1,      A1,        A1,      A1,         A1,       A1
tarefas-KpSantiago          ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-Luishma34           ,  1.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Aa,     _____,   100Sa,      100Sa,    100Sa
tarefas-Pri-Holanda         ,  1.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Bb,     _____,   100Sb,      100Bc,    100Bc
tarefas-RafaelSantosS12     ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   000xx,     _____,   _____,      _____,    _____
tarefas-RenanMoreira7       ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-Ricardolg11         ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-SabrinaDamascenoDev ,  0.9,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Ba,     _____,   100Aa,      100Sa,    037xx
tarefas-Sinh-0              ,  0.1,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   100xx,      _____,    _____
tarefas-Temporary95Name     ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-Vitoria-Rabelo      ,  1.2,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Bb,     _____,   100Bb,      100Aa,    100Aa
tarefas-Wallisonnobrex      ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-alvwsk              ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-atilacalisto        ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-caduteix            ,  0.3,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Cb,     _____,   _____,      _____,    _____
tarefas-ceciliaabintes      ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, 000xx,   _____,   000xx,     _____,   _____,      _____,    _____
tarefas-eduspicod           ,  0.4,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100xx,     _____,   100xx,      100xx,    _____
tarefas-evyhdev             ,  0.6,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   000xx,     _____,   100Ab,      100Ba,    _____
tarefas-gabreidiasvl        ,  0.3,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   100Bb,      _____,    _____
tarefas-jardesonmagalhaes   ,  0.8,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   100Ab,      090Bc,    090Bc
tarefas-joAo-dav1           ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-mateus124           ,  0.8,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Aa,     _____,   100Sa,      100Ba,    _____
tarefas-narciso-roberto     ,  1.2,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Ab,     _____,   100Aa,      100Aa,    100Aa
tarefas-rgcastrof           ,  0.2,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   000xx,     _____,   100Cd,      _____,    _____
tarefas-ruan-raujo          ,  0.0,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   _____,     _____,   _____,      _____,    _____
tarefas-vistomia            ,  0.8,    _____, _____,   _____,   _____,  _____,       _____,_____,   _____,_____,    _____,   _____,  _____,    _____,     _____,   _____,   _____,    _____,    _____,    _____,     _____, _____,   _____,   100Sa,     _____,   100Aa,      100Bc,    _____
