SIMPLE                           ,3301naoki,Aaron-GMM,Arthur32p,Blackberry216,Brieloki,Daniel-jacodev,DevJLucasTM,DevJulioEmanuel,EstherAzevedo,GerasDeveloper,Henriwi-MS,JessLim2003,KauaLemos,KpSantiago,Luishma34,Pri-Holanda,RafaelSantosS12,Ricardolg11,SabrinaDamascenoDev,Sinh-0,Temporary95Name,Vitoria-Rabelo,Wallisonnobrex,alvwsk,atilacalisto,caduteix,ceciliaabintes,eduspicod,evyhdev,gabreidiasvl,jardesonmagalhaes,joAo-dav1,mateus124,narciso-roberto,rgcastrof,ruan-raujo,vistomia
+:2:queimada                     ,      096,      100,      096,          082,     096,           096,        ---,            096,          096,           096,       100,        100,      096,       082,      096,        100,            045,        100,                100,   096,            ---,           000,           ---,   096,         096,     082,           012,      082,    096,         002,              082,      096,      100,            100,      000,       096,     096
+:1:ilhas                        ,      ---,      100,      096,          ---,     082,           ---,        ---,            082,          082,           082,       ---,        082,      ---,       ---,      100,        100,            012,        ---,                096,   ---,            ---,           096,           ---,   ---,         096,     096,           ---,      082,    ---,         082,              096,      ---,      100,            100,      045,       ---,     ---
+:1:cercado                      ,      ---,      100,      096,          ---,     096,           ---,        ---,            ---,          082,           ---,       ---,        096,      ---,       ---,      100,        100,            ---,        045,                096,   ---,            ---,           096,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         ---,              ---,      100,      100,            100,      045,       ---,     ---
+:2:labirinto                    ,      082,      096,      096,          000,     096,           096,        053,            045,          082,           082,       100,        096,      ---,       096,      100,        100,            000,        ---,                096,   000,            ---,           096,           ---,   ---,         096,     082,           012,      045,    082,         045,              082,      082,      096,            096,      012,       082,     ---
+:1:pintura                      ,      ---,      100,      096,          ---,     ---,           ---,        ---,            ---,          082,           ---,       ---,        100,      ---,       ---,      100,        100,            ---,        ---,                082,   ---,            ---,           096,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         ---,              082,      100,      100,            100,      082,       ---,     ---
*:1:longest                      ,      ---,      100,      096,          ---,     ---,           ---,        ---,            ---,          000,           ---,       ---,        082,      ---,       ---,      100,        100,            ---,        ---,                092,   ---,            ---,           045,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         ---,              082,      082,      100,            082,      000,       ---,     ---
*:1:battleship                   ,      ---,      100,      096,          ---,     ---,           ---,        ---,            ---,          082,           ---,       ---,        096,      ---,       ---,      100,        100,            ---,        ---,                ---,   ---,            ---,           100,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         ---,              082,      082,      100,            ---,      082,       ---,     ---
=:1:busca-em-largura---bfs=======,      000,      040,      000,          000,     000,           000,        000,            000,          000,           039,       000,        096,      000,       000,      120,        000,            000,        000,                033,   000,            000,           039,           000,   000,         040,     114,           000,      033,    000,         000,              039,      066,      118,            000,      051,       000,     000
+:2:rotten                       ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            ---,          ---,           ---,       ---,        082,      ---,       ---,      100,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     100,           ---,      ---,    ---,         ---,              ---,      082,      100,            ---,      045,       ---,     ---
+:2:caminho                      ,      ---,      100,      000,          ---,     ---,           ---,        ---,            000,          000,           096,       ---,        082,      ---,       ---,      100,        ---,            ---,        ---,                082,   ---,            ---,           096,           ---,   ---,         100,     096,           000,      082,    ---,         000,              096,      ---,      096,            000,      082,       ---,     ---
+:1:detonate                     ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            ---,          ---,           ---,       ---,        082,      ---,       ---,      100,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     096,           ---,      ---,    ---,         ---,              ---,      082,      100,            ---,      ---,       ---,     ---
*:1:escapeSpread                 ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            ---,          ---,           ---,       ---,        070,      ---,       ---,      100,        ---,            ---,        ---,                ---,   ---,            ---,           000,           ---,   ---,         ---,     082,           ---,      ---,    ---,         ---,              ---,      082,      100,            ---,      ---,       ---,     ---
=:1:backtracking=================,      000,      029,      000,          000,     000,           000,        032,            000,          022,           074,       000,        048,      000,       000,      033,        000,            000,        000,                050,   027,            000,           000,           000,   000,         000,     000,           000,      014,    000,         059,              135,      041,      008,            000,      055,       000,     000
+:2:wordsearch                   ,      ---,      ---,      000,          ---,     ---,           ---,        ---,            ---,          025,           000,       ---,        ---,      ---,       ---,      000,        ---,            ---,        000,                050,   ---,            ---,           ---,           ---,   ---,         000,     ---,           ---,      000,    ---,         ---,              082,      ---,      025,            ---,      082,       ---,     ---
+:2:subset_sum                   ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            ---,          ---,           ---,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         045,              096,      ---,      ---,            ---,      ---,       ---,     ---
+:2:distancia                    ,      ---,      082,      000,          ---,     ---,           ---,        096,            ---,          ---,           082,       000,        096,      ---,       ---,      100,        ---,            ---,        ---,                100,   082,            ---,           000,           ---,   ---,         ---,     000,           ---,      000,    ---,         045,              096,      082,      ---,            ---,      082,       ---,     000
*:1:permutacoes                  ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            ---,          082,           100,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         082,              096,      ---,      ---,            ---,      ---,       ---,     ---
*:1:sudoku                       ,      ---,      006,      000,          ---,     ---,           ---,        ---,            ---,          000,           082,       000,        096,      ---,       000,      000,        ---,            ---,        ---,                000,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           ---,      082,    ---,         012,              082,      082,      ---,            ---,      000,       ---,     ---
*:1:n_rainhas                    ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            ---,          ---,           096,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         082,              082,      ---,      ---,            ---,      ---,       ---,     ---
=:1:vetor========================,      087,      100,      096,          083,     060,           070,        021,            051,          075,           084,       025,        097,      025,       066,      100,        042,            022,        063,                090,   039,            000,           091,           000,   072,         098,     056,           014,      073,    050,         069,              049,      085,      088,            097,      038,       021,     092
+:3:vetbuild                     ,      096,      100,      096,          082,     075,           096,        ---,            096,          082,           082,       100,        096,      100,       096,      100,        012,            045,        070,                100,   082,            ---,           096,           ---,   096,         100,     032,           005,      096,    082,         082,              082,      082,      096,            096,      045,       082,     096
+:3:setbuild                     ,      082,      100,      096,          082,     045,           082,        082,            045,          082,           082,       000,        096,      000,       000,      100,        045,            045,        082,                096,   002,            ---,           082,           ---,   096,         096,     082,           012,      045,    045,         082,              000,      082,      096,            096,      045,       000,     082
+:1:bettersearch                 ,      100,      100,      096,          ---,     096,           000,        ---,            000,          ---,           096,       ---,        100,      ---,       000,      100,        ---,            ---,        045,                000,   082,            ---,           096,           ---,   ---,         096,     082,           ---,      000,    ---,         ---,              082,      096,      000,            100,      ---,       ---,     082
+:1:magicsearch                  ,      082,      100,      096,          100,     096,           096,        ---,            ---,          082,           082,       000,        100,      000,       100,      100,        082,            ---,        082,                096,   082,            ---,           100,           ---,   096,         096,     082,           000,      096,    045,         082,              096,      096,      096,            096,      012,       ---,     096
+:2:multiset                     ,      082,      100,      096,          100,     082,           022,        ---,            096,          082,           082,       000,        096,      ---,       100,      100,        082,            ---,        045,                100,   012,            ---,           100,           ---,   096,         096,     ---,           012,      082,    045,         082,              000,      082,      096,            096,      045,       ---,     096
+:2:iterador                     ,      082,      100,      096,          100,     ---,           082,        ---,            ---,          082,           082,       000,        096,      ---,       100,      100,        045,            ---,        045,                096,   012,            ---,           082,           ---,   ---,         100,     082,           045,      096,    045,         045,              082,      082,      096,            096,      045,       ---,     096
=:1:lista========================,      076,      088,      090,          066,     015,           080,        000,            078,          058,           115,       000,        118,      000,       082,      095,        054,            030,        061,                093,   039,            000,           081,           000,   057,         000,     087,           006,      073,    000,         041,              077,      111,      087,            066,      064,       000,     034
+:3:lista_d1                     ,      082,      100,      096,          096,     045,           096,        000,            082,          096,           082,       ---,        096,      000,       100,      100,        012,            045,        082,                100,   002,            ---,           053,           ---,   082,         ---,     082,           ---,      082,    ---,         045,              082,      096,      096,            096,      082,       ---,     000
+:3:lista_d2                     ,      096,      100,      096,          082,     045,           096,        ---,            012,          082,           082,       ---,        082,      ---,       100,      100,        082,            045,        082,                096,   045,            ---,           082,           ---,   096,         ---,     082,           ---,      082,    ---,         082,              082,      096,      096,            096,      082,       ---,     000
+:2:lista_d4                     ,      096,      100,      096,          100,     045,           096,        ---,            096,          045,           096,       ---,        096,      ---,       100,      100,        082,            082,        000,                096,   045,            ---,           100,           ---,   096,         ---,     075,           ---,      082,    ---,         045,              082,      082,      096,            ---,      096,       ---,     000
+:3:prin_list1                   ,      082,      100,      096,          000,     000,           ---,        ---,            082,          012,           082,       ---,        082,      ---,       100,      100,        100,            082,        ---,                100,   000,            ---,           096,           ---,   100,         ---,     082,           045,      082,    ---,         082,              082,      096,      096,            096,      000,       ---,     000
+:4:editor                       ,      ---,      100,      000,          ---,     ---,           ---,        ---,            000,          ---,           096,       ---,        082,      ---,       000,      ---,        ---,            ---,        000,                000,   096,            ---,           000,           ---,   ---,         ---,     000,           000,      ---,    ---,         ---,              082,      082,      000,            ---,      003,       ---,     000
*:3:lista_d3                     ,      ---,      100,      082,          ---,     ---,           096,        ---,            100,          082,           096,       ---,        082,      ---,       ---,      100,        045,            000,        082,                096,   096,            ---,           000,           ---,   096,         ---,     082,           ---,      000,    ---,         045,              014,      082,      096,            ---,      000,       ---,     000
*:2:prin_list2                   ,      ---,      100,      ---,          000,     ---,           000,        ---,            000,          ---,           ---,       ---,        082,      ---,       ---,      ---,        ---,            ---,        ---,                000,   000,            ---,           082,           ---,   ---,         ---,     096,           000,      ---,    ---,         045,              082,      096,      ---,            ---,      ---,       ---,     000
*:4:controlz                     ,      ---,      005,      ---,          ---,     ---,           ---,        ---,            000,          ---,           096,       ---,        082,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   000,            ---,           000,           ---,   ---,         ---,     ---,           000,      ---,    ---,         ---,              082,      022,      ---,            ---,      ---,       ---,     000
+:8:editorint                    ,      096,      000,      096,          096,     ---,           096,        ---,            096,          053,           082,       ---,        082,      ---,       100,      100,        045,            000,        082,                096,   000,            ---,           100,           ---,   ---,         ---,     082,           000,      096,    ---,         000,              000,      082,      082,            082,      096,       ---,     096
=:1:deque-pilha-e-fila===========,      042,      078,      096,          055,     041,           014,        000,            026,          060,           094,       000,        000,      000,       043,      078,        078,            024,        000,                098,   000,            000,           086,           000,   000,         076,     014,           000,      074,    000,         030,              014,      000,      096,            078,      069,       000,     000
+:4:bufferring                   ,      096,      100,      096,          096,     045,           000,        ---,            000,          096,           096,       ---,        ---,      ---,       100,      100,        082,            000,        ---,                100,   ---,            ---,           082,           ---,   000,         096,     ---,           ---,      096,    ---,         045,              ---,      ---,      100,            100,      045,       ---,     ---
+:2:fila_enc                     ,      100,      100,      096,          096,     100,           096,        ---,            082,          082,           082,       ---,        ---,      ---,       100,      100,        082,            082,        000,                096,   ---,            ---,           096,           ---,   ---,         096,     ---,           000,      045,    ---,         045,              ---,      ---,      100,            100,      082,       ---,     ---
+:2:pilha                        ,      000,      100,      096,          096,     ---,           000,        ---,            100,          022,           096,       ---,        ---,      ---,       000,      100,        082,            045,        ---,                096,   ---,            ---,           096,           ---,   ---,         096,     ---,           ---,      096,    ---,         045,              ---,      ---,      082,            100,      082,       000,     ---
+:1:chaves                       ,      ---,      100,      096,          000,     ---,           ---,        ---,            000,          082,           096,       ---,        ---,      ---,       ---,      100,        100,            000,        ---,                100,   ---,            ---,           082,           ---,   ---,         096,     ---,           000,      045,    ---,         045,              ---,      ---,      100,            096,      ---,       ---,     ---
+:2:queimando                    ,      ---,      100,      096,          000,     096,           ---,        ---,            ---,          082,           096,       ---,        000,      ---,       ---,      100,        100,            045,        ---,                096,   ---,            ---,           082,           ---,   ---,         100,     100,           ---,      096,    ---,         012,              096,      ---,      100,            100,      082,       ---,     000
+:3:pilhado                      ,      ---,      ---,      096,          000,     ---,           ---,        ---,            ---,          000,           096,       ---,        ---,      ---,       ---,      ---,        045,            ---,        ---,                096,   ---,            ---,           082,           ---,   ---,         000,     ---,           ---,      045,    ---,         000,              000,      ---,      096,            000,      096,       ---,     000
=:1:ordenação====================,      000,      000,      022,          000,     008,           000,        031,            000,          000,           073,       000,        000,      000,       000,      100,        023,            000,        000,                023,   000,            000,           000,           000,   000,         000,     000,           063,      071,    000,         002,              000,      031,      000,            000,      000,       007,     000
+:1:ord_video                    ,      ---,      ---,      000,          ---,     100,           ---,        100,            ---,          ---,           099,       ---,        ---,      ---,       ---,      100,        ---,            ---,        000,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           100,      100,    ---,         ---,              ---,      100,      ---,            ---,      ---,       096,     ---
+:1:ord_leitura                  ,      ---,      ---,      000,          ---,     ---,           ---,        100,            ---,          ---,           100,       ---,        ---,      ---,       ---,      100,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           100,      100,    ---,         ---,              ---,      100,      ---,            ---,      ---,       ---,     ---
+:1:ord_simples                  ,      ---,      ---,      000,          ---,     ---,           ---,        100,            ---,          ---,           100,       ---,        ---,      ---,       ---,      100,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           100,      100,    ---,         ---,              ---,      100,      ---,            ---,      ---,       ---,     ---
+:1:ord_recurs                   ,      ---,      ---,      000,          ---,     ---,           ---,        100,            ---,          ---,           100,       ---,        ---,      ---,       ---,      100,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           100,      100,    ---,         ---,              ---,      100,      ---,            ---,      ---,       ---,     ---
+:1:vacina                       ,      ---,      000,      096,          ---,     ---,           ---,        ---,            ---,          ---,           100,       ---,        ---,      ---,       ---,      100,        100,            ---,        ---,                100,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           082,      045,    ---,         000,              ---,      ---,      ---,            ---,      ---,       ---,     ---
+:2:indices                      ,      ---,      ---,      096,          ---,     ---,           ---,        ---,            ---,          ---,           082,       ---,        ---,      ---,       ---,      100,        100,            ---,        ---,                100,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           045,      096,    ---,         012,              ---,      ---,      ---,            ---,      ---,       ---,     ---
+:3:tapioca                      ,      ---,      ---,      000,          ---,     ---,           ---,        ---,            ---,          ---,           096,       ---,        ---,      ---,       ---,      100,        000,            ---,        ---,                000,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           082,      096,    ---,         ---,              ---,      ---,      ---,            ---,      ---,       ---,     ---
+:3:mergevet                     ,      ---,      ---,      000,          ---,     ---,           ---,        ---,            ---,          ---,           ---,       ---,        ---,      ---,       ---,      100,        000,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           000,      000,    ---,         ---,              ---,      ---,      ---,            ---,      ---,       ---,     ---
=:1:árvore=======================,      000,      005,      004,          000,     000,           000,        000,            002,          000,           040,       000,        000,      000,       000,      000,        000,            000,        000,                000,   000,            000,           046,           000,   000,         000,     000,           000,      045,    000,         021,              000,      000,      005,            000,      006,       000,     000
+:1:serial                       ,      ---,      100,      096,          ---,     ---,           ---,        000,            045,          ---,           100,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           082,           ---,   ---,         ---,     ---,           ---,      096,    ---,         012,              000,      ---,      100,            ---,      082,       ---,     ---
+:1:formatada                    ,      ---,      000,      000,          ---,     ---,           ---,        ---,            000,          ---,           096,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           096,           ---,   ---,         ---,     ---,           ---,      045,    ---,         ---,              000,      ---,      ---,            ---,      045,       ---,     ---
+:1:soma                         ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            000,          ---,           100,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           100,           ---,   ---,         ---,     ---,           ---,      096,    ---,         ---,              000,      ---,      ---,            ---,      000,       ---,     ---
+:2:altura                       ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            000,          ---,           096,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           082,           ---,   ---,         ---,     ---,           ---,      096,    ---,         012,              000,      ---,      ---,            ---,      ---,       ---,     ---
+:4:arvore-path                  ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            000,          ---,           100,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           096,           ---,   ---,         ---,     ---,           ---,      096,    ---,         082,              000,      ---,      ---,            ---,      ---,       ---,     ---
+:2:dividido                     ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            000,          ---,           ---,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           096,           ---,   ---,         ---,     ---,           ---,      082,    ---,         045,              000,      ---,      ---,            ---,      ---,       ---,     ---
+:3:arvore                       ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            000,          ---,           ---,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           000,           ---,   ---,         ---,     ---,           ---,      000,    ---,         000,              000,      ---,      ---,            ---,      ---,       ---,     ---
+:4:incompleta                   ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            000,          ---,           ---,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           ---,      000,    ---,         000,              000,      ---,      ---,            ---,      ---,       ---,     ---
+:4:abb                          ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            000,          ---,           ---,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                ---,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         ---,              000,      ---,      ---,            ---,      ---,       ---,     ---
=:1:recursão-padrões-e-conceitos=,      000,      000,      000,          000,     000,           000,        000,            000,          000,           000,       000,        000,      000,       000,      000,        000,            000,        000,                000,   000,            000,           000,           000,   000,         000,     000,           000,      000,    000,         000,              000,      000,      000,            000,      000,       000,     000
*:1:escada                       ,      ---,      100,      000,          ---,     ---,           ---,        ---,            ---,          ---,           ---,       ---,        ---,      ---,       ---,      ---,        ---,            ---,        ---,                000,   ---,            ---,           ---,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         ---,              ---,      ---,      ---,            ---,      ---,       ---,     ---
